#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.97 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2007.3207,,20.59000,,
2007.3479,,14.90000,,
2007.3750,,19.89000,,
2007.4022,,21.14000,,
2007.4292,,18.99000,,
2007.4564,,15.62000,,
2007.4836,,15.58000,,
2007.5107,,16.44000,,
2007.5378,,15.28000,,
2007.5650,,14.69000,,
2007.5921,,16.41000,,
2007.6193,,19.56000,,
2007.6466,,16.91000,,
2007.6736,,15.16000,,
2007.7007,,15.36000,,
2007.7279,,20.61000,,
2007.7550,,19.79000,,
2007.7822,,17.96000,,
2007.8093,,17.88000,,
2007.8365,,15.57000,,
2007.8637,,19.11000,,
2007.8908,,23.79000,,
2007.9180,,22.95000,,
2007.9451,,20.92000,,
2007.9723,,16.02000,,
2007.9995,,17.97000,,
2008.0266,,19.19000,,
2008.0537,,22.52000,,
2008.0808,,22.20000,,
2008.1080,,20.01000,,
2008.1351,,21.33000,,
2008.1623,,18.38000,,
2008.1894,,21.57000,,
2008.2166,,22.04000,,
2008.2437,,21.13000,,
2008.2709,,19.67000,,
2008.2981,,21.00000,,
2008.3253,,20.81000,,
2008.3456,,20.00000,,
2008.3795,,25.40000,,
2008.4066,,25.34000,,
2008.4338,,23.07000,,
2008.4609,,21.78000,,
2008.4881,,23.50000,,
2008.5152,,24.53000,,
2008.5423,,24.33000,,
2008.5425,,,22.48000,
2008.5695,,22.31000,21.65000,
2008.5922,,21.30000,,
2008.5968,,,19.64000,
2008.6238,,,22.14000,
2008.6507,,,20.71000,
2008.6509,,18.48000,,
2008.6781,,,20.60000,
2008.6782,,21.01000,,
2008.7052,,19.44000,19.53000,
2008.7324,,20.82000,21.17000,
2008.7595,,22.65000,21.59000,
2008.7867,,21.58000,22.22000,
2008.8138,,23.75000,22.80000,
2008.8410,,,21.21000,
2008.8411,,21.60000,,
2008.8681,,24.60000,23.53000,
2008.8953,,24.03000,22.42000,
2008.9224,,,27.01000,
2008.9225,,27.43000,,
2008.9496,,22.53000,22.54000,
2008.9768,,,21.12000,
2008.9769,,20.75000,,
2009.0039,,22.99000,22.89000,
2009.0310,,23.90000,,
2009.0316,,,23.51000,
2009.0582,,23.41000,22.97000,
2009.0853,,,22.31000,
2009.1124,,,20.01000,
2009.1267,,20.53000,,
2009.1396,,,21.97000,
2009.1531,,23.71000,,
2009.1667,,,23.21000,
2009.1803,,27.05000,,
2009.1939,,,24.17000,
2009.2074,,27.66000,,
2009.2210,,,24.77000,
2009.2346,,27.17000,,
2009.2482,,,24.84000,
2009.2618,,26.13000,,
2009.2753,,,24.21000,
2009.2889,,23.76000,,
2009.3025,,,24.97000,
2009.3160,,25.97000,,
2009.3296,,,25.12000,
2009.3432,,27.99000,,
2009.3567,,,24.65000,
2009.3703,,24.18000,,
2009.3839,,,23.81000,
2009.3975,,24.33000,,
2009.4107,,,23.37000,
2009.4246,,24.01000,,
2009.4382,,,25.38000,
2009.4518,,27.86000,,
2009.4653,,,26.00000,
2009.4789,,25.05000,,
2009.4925,,,24.20000,
2009.5061,,24.84000,,
2009.5197,,,22.27000,
2009.5332,,24.82000,,
2009.5468,,,23.71000,
2009.5604,,27.97000,,
2009.5740,,,27.24000,
2009.5875,,27.22000,,
2009.6011,,,24.02000,
2009.6147,,25.30000,,
2009.6283,,,25.00000,
2009.6418,,24.57000,,
2009.6554,,,25.16000,
2009.6690,,26.70000,,
2009.6826,,,25.77000,
2009.6947,,29.46000,,
2009.7097,,,28.64000,
2009.7360,,23.98000,,
2009.7369,,,27.92000,
2009.7504,,29.54000,,
2009.7640,,,27.19000,
2009.7776,,28.26000,,
2009.7911,,,28.28000,
2009.8047,,27.52000,,
2009.8184,,,28.71000,
2009.8319,,30.04000,,
2009.8455,,,28.38000,
2009.8590,,26.53000,,
2009.8726,,,24.94000,
2009.8862,,27.25000,,
2009.8998,,,27.57000,
2009.9133,,28.07000,,
2009.9269,,,26.69000,
2009.9405,,27.61000,,
2009.9540,,,24.83000,
2009.9676,,28.29000,,
2009.9812,,,29.61000,
